Ticker,Name,address,latitude,longitude,Price,Climate Chg Pol:Y,Equal Opp Pol:Y,Water Policy,Human Rights Pol:Y,Energy Effic Pol:Y,Bus Ethics Pol:Y,Biodiv Pol:Y,Registered State Location,Product/Geographic Revenue,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Use:Y,Tot Wtr Dschgd:Y,Wste Sent to Ldflls:Y,Waste Recycl:Y ,Total Waste:Y,Energy Consump:Y ,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y
DIS UN Equity,Walt Disney Co/The,"Arlington, Virginia",38.8785384,-77.0691116,96.16,1,1,0,1,1,1,1,0,0,54317999104,US2546871060,Consumer Services,Media,US,0,26801.90039,,133.9250031,,308,5459.839844,3.24000001,765.625,74973
DISCA UW Equity,Discovery Communications Inc,"Stamford, Connecticut",41.7655582,-72.69061266,27.91,0,1,0,0,0,1,0,0,0,6393999872,US25470F1049,Consumer Services,Media,US,0,,,,,,,,,
DISCK UW Equity,Discovery Communications Inc,"Benton Harbor, Michigan",30.284151,-97.73195588,26.96,0,1,0,0,0,1,0,0,0,6393999872,US25470F3029,Consumer Services,Media,US,0,,,,,,,,,
DLPH UN Equity,Delphi Automotive PLC,"Houston, Texas",29.7589382,-95.3676974,71.2,1,1,1,0,1,1,0,0,0,15164999936,JE00B783TY65,Consumer Goods,Automobiles & Parts,JE,0,,,,,,,45.58649826,,3520
DLTR UW Equity,Dollar Tree Inc,"Atlanta, Georgia",32.9862442,-96.75109557,80.64,0,1,0,0,0,1,0,0,0,15498400256,US2567461080,Consumer Services,General Retailers,US,0,,,,,,,,,
DNB UN Equity,Dun & Bradstreet Corp/The,"New York, New York",42.3370414,-71.2092214,103.38,0,1,0,1,0,1,0,0,0,1657100000,US26483E1001,Consumer Services,Media,US,0,,,,,,,62.23600006,,2198
DO UN Equity,Diamond Offshore Drilling Inc,"Houston, Texas[6]",29.7589382,-95.3676974,20.28,0,1,0,0,0,1,0,0,0,2419393024,US25271C1027,Oil & Gas,"Oil Equipment, Services & Distribution",US,0,,,,,,,10.91399956,,17784.22656
DOV UN Equity,Dover Corp,"Schaumburg, Illinois",42.0333608,-88.083406,62.72,0,1,0,1,1,1,0,0,0,6956310912,US2600031080,Industrials,Industrial Engineering,US,0,,,,,,654,,,25.72200012
DOW UN Equity,Dow Chemical Co/The,"Boston, Massachusetts",42.3604823,-71.0595678,50.44,1,1,0,1,1,1,1,0,0,48777999360,US2605431038,Basic Materials,Chemicals,US,0,,,345,,1500,165361,,8100,
DPS UN Equity,Dr Pepper Snapple Group Inc,"Miami, Florida",25.7742658,-80.1936589,89.97,0,1,0,1,1,1,0,0,0,6282000128,US26138E1091,Consumer Goods,Beverages,US,0,11735.2998,5299.819824,0.0066,29.62999916,36.22999954,1464.912964,156.2030029,159.9170074,735.2819824
